%time,field.header.seq,field.header.stamp,field.header.frame_id,field.child_frame_id,field.pose.pose.position.x,field.pose.pose.position.y,field.pose.pose.position.z,field.pose.pose.orientation.x,field.pose.pose.orientation.y,field.pose.pose.orientation.z,field.pose.pose.orientation.w,field.pose.covariance0,field.pose.covariance1,field.pose.covariance2,field.pose.covariance3,field.pose.covariance4,field.pose.covariance5,field.pose.covariance6,field.pose.covariance7,field.pose.covariance8,field.pose.covariance9,field.pose.covariance10,field.pose.covariance11,field.pose.covariance12,field.pose.covariance13,field.pose.covariance14,field.pose.covariance15,field.pose.covariance16,field.pose.covariance17,field.pose.covariance18,field.pose.covariance19,field.pose.covariance20,field.pose.covariance21,field.pose.covariance22,field.pose.covariance23,field.pose.covariance24,field.pose.covariance25,field.pose.covariance26,field.pose.covariance27,field.pose.covariance28,field.pose.covariance29,field.pose.covariance30,field.pose.covariance31,field.pose.covariance32,field.pose.covariance33,field.pose.covariance34,field.pose.covariance35,field.twist.twist.linear.x,field.twist.twist.linear.y,field.twist.twist.linear.z,field.twist.twist.angular.x,field.twist.twist.angular.y,field.twist.twist.angular.z,field.twist.covariance0,field.twist.covariance1,field.twist.covariance2,field.twist.covariance3,field.twist.covariance4,field.twist.covariance5,field.twist.covariance6,field.twist.covariance7,field.twist.covariance8,field.twist.covariance9,field.twist.covariance10,field.twist.covariance11,field.twist.covariance12,field.twist.covariance13,field.twist.covariance14,field.twist.covariance15,field.twist.covariance16,field.twist.covariance17,field.twist.covariance18,field.twist.covariance19,field.twist.covariance20,field.twist.covariance21,field.twist.covariance22,field.twist.covariance23,field.twist.covariance24,field.twist.covariance25,field.twist.covariance26,field.twist.covariance27,field.twist.covariance28,field.twist.covariance29,field.twist.covariance30,field.twist.covariance31,field.twist.covariance32,field.twist.covariance33,field.twist.covariance34,field.twist.covariance35
1656060245805294405,571,1656060245803962469,odom,base_link_33,-0.6822642815277504,-0.44570700046097045,-1.0390126259363086e-14,2.6056988296655588e-15,4.1845881477662217e-16,-0.9508018089771832,0.3097998064003849,0.003342609488049471,-8.735893449940003e-12,3.693309534312592e-20,-1.4905108091962992e-25,-3.4974604307914744e-24,3.438649818328777e-09,-8.735893449516487e-12,0.0033426094950383353,1.7705538882685083e-20,-3.2710574735539407e-25,-3.2879806204797935e-24,-5.079286842563855e-09,3.6933192278353956e-20,1.770554554698201e-20,0.004001761159824882,-2.16585333365828e-10,-6.157217732399065e-09,1.0618446437509325e-24,-1.5551342945515343e-25,-2.237081707862656e-25,-2.165853333658281e-10,0.0020019031649283515,-7.784660640425123e-19,3.114185917029825e-20,-3.394062854222346e-24,-3.2879806204797935e-24,-6.157217732399065e-09,-7.784660640425125e-19,0.0020019031649283234,-8.996870906471844e-21,3.4386498183287775e-09,-5.0792868425638555e-09,1.037610836742543e-24,3.1141860785885385e-20,-8.996845057080786e-21,0.004007675060693259,0.04624282239092281,-0.006219061735379228,-4.503342143635791e-15,-2.845830224205113e-15,-1.7095755503422415e-15,-1.4740435425919713,0.0034042591010184247,6.624515409492266e-18,3.660314600225495e-28,-2.703446234949161e-27,-3.314666439880685e-27,-1.3546065966715031e-20,6.6245154078766785e-18,0.003404259101018701,-7.099748146989106e-28,5.545565032601119e-28,5.352564932414444e-28,-6.945910117868955e-17,3.534096855390133e-28,-7.099748146989106e-28,0.0026685097487443824,-2.98159953307749e-19,-1.3635210764074727e-17,2.5849394142282115e-26,-2.703470886864204e-27,5.545318513568237e-28,-2.981599533077521e-19,0.00066862101345975,-7.052759665478018e-21,2.242491463509112e-25,-3.314666439880685e-27,5.352564932407097e-28,-1.3635210764074733e-17,-7.0527596654811e-21,0.0006686210134597498,2.0474343191800864e-25,-1.3546065966665728e-20,-6.945910117868955e-17,2.5849394142282115e-26,2.3717394202966543e-25,2.0474343191876096e-25,0.0026660480672677607
1656060245872420235,572,1656060245870628357,odom,base_link_33,-0.6866218940922408,-0.44879891801792837,-1.2836953722228372e-15,-5.470805007754996e-16,-3.1839584575595807e-16,-0.9806361668701876,0.19583847483614042,0.006675856801515077,-3.192655676759507e-08,7.812555449440836e-20,1.632084770445133e-20,-1.1677752052150485e-19,8.639351163991521e-06,-3.192655676762175e-08,0.006675893108231808,3.8870871345091876e-20,1.5582871708453047e-20,-6.659909140267052e-20,-1.4851181582563461e-05,7.812555449440836e-20,3.8870871345091876e-20,0.008012720380242134,1.138427638028431e-06,-8.633892010933153e-06,-5.7846097329025695e-24,1.8014913599009236e-20,1.5582871708453047e-20,1.138427638028431e-06,0.004059751729537705,-4.64828186157103e-12,1.0541581139011838e-20,-1.1677752052150485e-19,-6.659909140257191e-20,-8.633892010933153e-06,-4.64828186157103e-12,0.00405975172512019,-1.138095593926111e-21,8.639351163991521e-06,-1.4851181582563468e-05,-5.836308521187134e-24,1.0541581139011838e-20,-1.139749955151217e-21,0.008007635680714158,0.06532118546965648,-0.0022405122041391223,-3.1086244689504383e-15,-2.2726975824322756e-15,7.014947669850811e-16,-2.50511914290837,0.003405250278532744,-1.0127444989991477e-17,1.5541948228047122e-24,-1.9408673457306942e-26,2.1777177374935026e-26,2.46034029972687e-18,-1.0127444990395374e-17,0.0034052502785331153,-4.55930048781536e-25,-4.385075445789087e-28,7.413807103722618e-29,5.749320933838314e-20,1.5541948228047122e-24,-4.557217895025576e-25,0.005338701601493396,-7.854563375563905e-14,-2.232951344423348e-12,5.01478246360273e-24,-1.779308632336729e-26,-3.3773056393692447e-28,-7.854563375563905e-14,0.0013343930184415121,-1.2817903660193385e-16,2.2620807355238233e-24,2.177737459016133e-26,7.433528626353143e-29,-2.232951344423348e-12,-1.2817903660193306e-16,0.0013343930184378724,-5.4028078778879844e-24,2.460339782739012e-18,5.749362292868942e-20,5.86781247029804e-24,2.262079946662918e-24,-4.9892175715994335e-24,0.0026668353920419104
1656060245938260089,573,1656060245937293291,odom,base_link_33,-0.6895350631384645,-0.45351999401646026,-1.215499055573499e-15,-4.1877333052922843e-16,-3.09901785398857e-15,-0.9647428971409626,0.2631941154662507,0.0033427340764069385,-2.3668819138183682e-11,5.261320252441179e-21,1.4309238956894262e-24,2.611971230905216e-24,6.340770788752725e-09,-2.3668819137548407e-11,0.003342734084160641,-4.6239218123232735e-20,-2.5467844905726564e-24,4.696584569028413e-24,-7.463875682848868e-09,5.261113457288041e-21,-4.6239218123232735e-20,0.004001904241338465,1.672038106602377e-09,-9.65040384235779e-09,-4.859383176161433e-25,1.211204045477019e-24,-2.5467844905726564e-24,1.672038106602377e-09,0.002001958300943841,-1.124323367540477e-18,-1.6268994257250103e-20,2.5990465338310657e-24,4.683659872342458e-24,-9.65040384235779e-09,-1.1243299849853776e-18,0.00200195830094384,-3.3047206956918233e-20,6.340770788752726e-09,-7.463875682848868e-09,-4.858878305182091e-25,-1.626896840785596e-20,-3.3047205341324936e-20,0.004007822411002375,0.07391831211407407,0.009989644253039387,-4.017619570362285e-15,-1.3504292541725554e-16,-2.835998211938165e-16,-0.5719228452580865,0.0034053066636696603,1.881755682886571e-15,2.524354896707238e-29,3.0731870797259703e-27,2.5623700142199402e-27,-3.007313762173395e-15,1.8817556828809165e-15,0.00340530666368578,1.3789288623263286e-27,7.882690256334139e-28,7.77811683671505e-28,-2.5469554282644608e-14,2.524354896707238e-29,1.3284417643921839e-27,0.0026686051178623025,3.065040644768684e-21,-2.32627974014371e-20,7.270142102516845e-26,3.073162427822682e-27,8.38756123569028e-28,3.065040644768684e-21,0.0006686448638903617,5.1375684456784634e-23,-1.8443794925958637e-25,2.6633195581849416e-27,7.777870317682169e-28,-2.326279740144018e-20,5.137568444445868e-23,0.0006686448638903616,-1.9838747621079296e-25,-3.007313762173395e-15,-2.5469554282489512e-14,7.916376956073898e-26,-1.8443794925883405e-25,-1.9192512767447011e-25,0.002666883544802757
1656060246005453677,574,1656060246003968000,odom,base_link_33,-0.6963116477636504,-0.45432163031364325,2.1503523787991252e-15,-2.0714039210492077e-15,5.8155117238622e-16,-0.9795370951023209,0.20126370591466972,0.0033432244797552578,-1.578016956634208e-11,-3.198831182717014e-20,4.533690992884508e-25,-9.292852634988246e-25,3.1586633550113763e-09,-1.5780169566345388e-11,0.003343224524662582,3.3961737778729354e-21,-1.769665542167739e-24,-2.5650028869055594e-24,-9.987783942852898e-09,-3.198831182717014e-20,3.3961737778729354e-21,0.0040024907604140824,-1.041624911610889e-09,-1.0461911206472018e-08,3.416966788182917e-25,2.2072455201994884e-25,-1.8730631187367732e-24,-1.0416249116108893e-09,0.0020022647986193166,-1.396420804496719e-18,-2.100219029484877e-20,-7.224901103598153e-25,-2.5650028869055594e-24,-1.0461911206472018e-08,-1.396420804496719e-18,0.002002264798619312,1.4394950768366e-20,3.1586633550113767e-09,-9.987783942852898e-09,3.417219223672588e-25,-2.1002189487055202e-20,1.439495076836523e-20,0.004008410197923839,0.07834242092121713,-0.015044144501928258,1.3374717999781183e-15,1.9199631933288494e-15,-7.229546146198144e-16,-1.3480952617246658,0.0034055477479683237,1.6814587234343877e-15,-1.7670484276950664e-27,1.4650811666295702e-27,1.547775686661923e-28,-1.168635749367892e-20,1.6814587234343877e-15,0.003405547747983087,7.068193710780266e-28,2.552921488147042e-28,-4.745304752836109e-28,-4.904085196122666e-17,-1.7607375404532983e-27,7.068193710780266e-28,0.0026689961265381,1.0236186237505957e-18,-5.9079593102159784e-18,3.166550782429559e-25,1.3640946448096366e-27,2.552921488147042e-28,1.0236186237506021e-18,0.0006687426095088383,1.0491834802004272e-20,-1.0836909171886602e-25,2.557486830458361e-28,-4.745273937960672e-28,-5.9079593102159784e-18,1.0491834802004272e-20,0.0006687426095088376,-1.9185567512397257e-27,-1.1686771083960545e-20,-4.904085206462424e-17,3.166550782429559e-25,-1.0836909171886602e-25,2.393083739104239e-26,0.0026670594634999687
1656060246072116567,575,1656060246070666075,odom,base_link_33,-0.7037644077609002,-0.45954024395723536,-2.6749435999562365e-15,-2.0892688179515573e-15,1.241762361125777e-15,-0.986395773782898,0.1643878872156886,0.0066781040368461345,-8.278923284823932e-08,-2.5185995291014587e-19,-1.6756040135113555e-19,-1.311123617439035e-19,1.2834428592015285e-05,-8.278923284823847e-08,0.006678230343391064,-1.0098220918047362e-19,-7.855683750865264e-20,-5.2264019448022045e-20,-2.593003814583886e-05,-2.5188642268974756e-19,-1.0099544407027447e-19,0.00801546243232952,1.8696332721896457e-06,-1.4392763444727147e-05,9.27104676784287e-24,-1.6756040135093833e-19,-7.178057392992798e-20,1.8696332721896457e-06,0.004018885786225251,-2.613217052722478e-12,-7.394792343078882e-21,-1.311123617441007e-19,-4.591127234361479e-20,-1.4392763444727149e-05,-2.613217052722478e-12,0.004018885777710703,4.105284545130346e-21,1.2834428592015337e-05,-2.593003814583886e-05,9.27104676784287e-24,-7.39476649368474e-21,4.105284545228954e-21,0.008010303239376786,0.1099569188654641,0.0052056706117866725,-3.885780586188048e-15,2.3417764226137153e-15,7.114971300503778e-16,-1.236419587265118,0.0034064277542996766,1.6561469375283241e-15,-1.0921369025114194e-24,9.821239034112168e-27,1.2697703996998175e-27,5.964549577426721e-18,1.6561469374750097e-15,0.0034064277543135292,7.502887623993252e-25,-9.787746686203797e-27,-9.772159753292776e-28,2.596580666671706e-18,-1.0921369025114194e-24,7.51954836631152e-25,0.005340480547240329,-3.782012903294555e-13,-3.7986028120108204e-12,1.4346413748966574e-24,9.821239034112168e-27,-9.787746686192042e-27,-3.782012903294555e-13,0.0013348364760524998,-1.0494430986206343e-15,-7.354624706521652e-25,4.619768327770113e-28,-1.7850095422755937e-27,-3.7986028120108204e-12,-1.0494430986206335e-15,0.0013348364760420635,-3.593511132655159e-25,5.964549680824295e-18,2.596580653747009e-18,1.4346413748966574e-24,-7.354624706521652e-25,-3.0765232498095167e-25,0.00266772228152622
1656060246138863977,576,1656060246137309074,odom,base_link_33,-0.7120583808900847,-0.4625000151736458,-1.3719114819871203e-14,-2.7185910463357136e-15,-2.4559534194658175e-15,-0.994159025847376,0.10792511906964207,0.0033416359332981514,-4.1110927877054446e-11,-3.699487660681633e-20,2.4118581841717035e-24,-2.706639978537704e-24,5.024473409878891e-09,-4.11109278770561e-11,0.0033416360545251915,-4.076429867243891e-20,1.971367192091559e-24,-2.4059103736976385e-24,-1.635982273740445e-08,-3.6995263539934895e-20,-4.0764518796185903e-20,0.004000588263718154,1.3966579883417204e-09,-1.714130908554063e-08,-7.024017500087889e-25,2.8254484904482174e-24,2.165237648349763e-24,1.3966579883417206e-09,0.002001319731354066,-3.1203057761046312e-18,-3.798252646256295e-20,-2.680790584395422e-24,-2.6127055268359895e-24,-1.714130908554063e-08,-3.1203057761046312e-18,0.0020013197313540647,-2.133479924377023e-20,5.02447340987889e-09,-1.635982273740445e-08,-7.161342406468763e-25,-3.798255311975066e-20,-2.13348121684673e-20,0.0040065052962606025,0.1304466573164973,-0.003144104875545395,-2.895253481405291e-15,-1.4581656716605062e-16,1.4296162077103766e-15,-1.5877572102617705,0.003405513602560102,1.2241797773671769e-15,-2.8272774843121063e-27,8.571581838954595e-27,1.022143170884938e-26,2.629149375516308e-16,1.2241797773671769e-15,0.003405513602619555,-8.764244657005441e-28,-6.214712180248495e-29,2.7279959164880344e-28,-4.316053448457911e-14,-4.0389678347315804e-28,-8.764244657005441e-28,0.002667727732199794,5.134784194763056e-21,-3.957685502743557e-20,9.693522803355793e-27,8.571581838954595e-27,-6.372484361292697e-29,5.134784194761515e-21,0.0006684255209476622,1.4662776136170994e-22,-1.3089668187868487e-25,1.1029225275795697e-26,2.728119176004475e-28,-3.957685502743865e-20,1.466277613601692e-22,0.0006684255209476622,-1.8612668994487e-25,2.629149376550284e-16,-4.316053448468251e-14,9.693522803355793e-27,-1.3089668187868487e-25,-1.8612668994411768e-25,0.002667087720065806
1656060246204660509,577,1656060246203958750,odom,base_link_33,-0.7212915646632609,-0.4647906204354513,1.6735744734486246e-15,1.1511880573778753e-15,-5.066741381618536e-16,-0.9944653639967677,0.10506493140328246,0.00334196467213922,-4.158004007786083e-11,1.8776889237235057e-20,-1.8590242651207646e-24,-7.813653853586599e-25,4.938426111376836e-09,-4.1580040077647416e-11,0.0033419648016687277,-6.0115084445414194e-21,1.0537403519818302e-24,1.3101493307719892e-24,-1.683299675453977e-08,1.8776889237235057e-20,-6.011495519844348e-21,0.0040009888154336,1.312438570064282e-09,-1.751658262830176e-08,-1.4699318563526246e-25,-2.2726145713716997e-24,1.1700626256220997e-24,1.312438570064282e-09,0.0020015044254468755,5.425518986337122e-19,1.306382273989233e-20,-7.813653854068082e-25,1.3101493308197613e-24,-1.751658262830176e-08,5.425585160786126e-19,0.0020015044254468586,-8.535404848207869e-21,4.938426111376835e-09,-1.6832996754539776e-08,-1.500097897368276e-25,1.30638227398931e-20,-8.535404848207869e-21,0.004006901761872269,0.1336879145765124,0.002237288844284535,1.2455314557513475e-15,-6.089867382164922e-16,-1.350381380103845e-15,-0.8751049039783538,0.003404321003237412,9.808026386115454e-16,3.4331226595218434e-27,-7.573803533601248e-27,-8.284538880896489e-27,-2.04765689831659e-20,9.808026386115454e-16,0.003404321003292544,6.4449935956556665e-28,-4.084622531709174e-28,-1.1455494804147834e-27,-8.170672054506503e-17,3.3826355615876986e-27,6.443021443392614e-28,0.0026679947614666184,8.506068097566098e-19,-1.043957383359625e-17,-1.2116903504194741e-26,-7.573803533601248e-27,-4.084622531708715e-28,8.506068097566098e-19,0.0006684922685304892,1.5416050380152447e-20,3.193242201401704e-26,-7.476757639901817e-27,-1.1455494804148294e-27,-1.0439573833596246e-17,1.5416050380149366e-20,0.0006684922685304892,9.719038836671787e-26,-2.04765689831659e-20,-8.170672049336624e-17,-1.1713006720721583e-26,3.193242201401704e-26,1.0365278620647114e-25,0.00266612030787541
1656060246271586975,578,1656060246270629168,odom,base_link_33,-0.7174832211021567,-0.46400336648730445,1.9336745746278972e-16,-2.2445278009259498e-15,-5.461299357042104e-16,-0.9986749102746839,0.05146283695883959,0.003343007228417751,-1.1707299290338488e-12,-3.271201327600378e-20,-3.811275086086695e-24,3.0162559725508135e-24,4.510320400520152e-10,-1.1707299289279697e-12,0.0033430072417881436,-1.1241414564418917e-20,1.1024204587194936e-24,-2.9674567860427857e-24,-5.18980110765699e-09,-3.271201327600378e-20,-1.1241427489115988e-20,0.004002233225731871,-8.684835214508892e-11,-5.231879584121492e-09,-7.178003148787031e-25,-3.59155523606989e-24,1.1169607429245272e-24,-8.684835214508887e-11,0.002002139288528399,-6.03644785601945e-20,-2.7148406214919836e-20,3.0162559729359994e-24,-2.9416073915153176e-24,-5.231879584121492e-09,-6.032477389079196e-20,0.0020021392885283826,-3.537879971995005e-21,4.510320400520152e-10,-5.189801107656991e-09,-7.056834113745083e-25,-2.71484070227134e-20,-3.5378928966920755e-21,0.004008150585771749,0.03892093779541028,-0.004551188504279935,-2.248201624865942e-15,-7.359924855730127e-16,8.776818825726073e-16,-1.4771723292942625,0.0034050504345678285,9.847895990057588e-16,1.397861524051633e-27,6.611056694990841e-28,-9.13113571010255e-28,7.574903001803048e-21,9.847895990057588e-16,0.003405050434618354,-7.891567280604697e-28,-3.578364088305772e-28,6.166202319798612e-28,-5.3126306369411113e-17,1.401016967672517e-27,-7.891567280604697e-28,0.0026688244637582187,8.026283467796205e-19,-1.0712347489016195e-17,2.261821987449685e-26,7.115927674332288e-28,-3.570413849495399e-28,8.026283467796206e-19,0.000668699693141851,1.4918951138899146e-20,1.9263667891661913e-25,-9.131382229120738e-28,6.166202319798612e-28,-1.0712347489016195e-17,1.4918951138902228e-20,0.0006686996931418508,-6.9687994573346905e-25,7.574903001803048e-21,-5.312630471504989e-17,-6.462348535570529e-27,1.6678733407814359e-25,-6.968800443410822e-25,0.0026666683921858685
1656060246338135471,579,1656060246337297201,odom,base_link_33,-0.7251026819030812,-0.4657593432748399,6.578830362424792e-15,9.570397672817093e-16,-2.3923592086652012e-17,-0.9984880001035578,0.054970115964928554,0.003342889787591075,-1.6418413581560618e-11,1.4805908540271946e-20,-3.1791021594310254e-24,-5.1382391180460464e-24,3.1370359476403954e-09,-1.641841358155979e-11,0.0033428898374292123,-2.511260562987038e-22,1.118895376745177e-24,-3.336714023940611e-24,-1.0463459611663832e-08,1.4805909348065513e-20,-2.511260562987038e-22,0.004002090220275997,1.9699473447083103e-09,-1.074833174147727e-08,1.3269523950031266e-24,-3.1791021600990824e-24,1.228755301849876e-24,1.96994734470831e-09,0.0020020512575850366,-1.1452442680984941e-18,1.156710199573224e-20,-5.1382391180460464e-24,-3.3302516746346684e-24,-1.0748331741477272e-08,-1.1452310332086933e-18,0.002002051257585036,-1.916737269765877e-21,3.1370359476403954e-09,-1.0463459611663832e-08,1.3269019079051925e-24,1.1567088263241602e-20,-1.916738077559444e-21,0.004008008955680276,0.08206253975004074,0.011962125159982406,5.620504062164855e-15,1.5272101260666668e-16,9.072882812194734e-16,-0.5692467843255145,0.003405503540916074,9.471471444810172e-16,-3.685558149192567e-27,2.3105544059198224e-27,-1.5345334392872687e-27,-9.664529286067092e-21,9.471471444810172e-16,0.003405503540962729,-2.7704794991361935e-27,-2.584035381575613e-28,-1.0624774881334098e-27,-1.6350465683865873e-17,-3.256417816752337e-27,-2.7168369575811647e-27,0.002668729096045308,-5.2935050737688845e-20,-3.188959623198793e-18,-4.6448130099413175e-26,2.3105544059198224e-27,-3.088967990675281e-28,-5.2935050737688845e-20,0.0006686758526741529,-2.929711368427245e-22,-3.170093085478721e-26,-1.9384302227604267e-27,-1.0624774881334098e-27,-3.1889596231987944e-18,-2.92971136839643e-22,0.0006686758526741525,2.3505450363586947e-26,-9.664555135436582e-21,-1.6350465683865873e-17,-4.0389678347315804e-26,-2.846978123890523e-26,2.3505450363492908e-26,0.002667035743665222
1656060246404689446,580,1656060246403927565,odom,base_link_33,-0.7318289322065539,-0.4656837467719015,6.74807432154978e-16,-6.487033895284681e-16,-1.0099489089441593e-17,-0.999634534425429,0.02703326809794966,0.006674328833200188,-1.4977855855041955e-08,-5.553359760436007e-20,-7.509924711257618e-21,-9.75746204034697e-20,2.471161080944815e-06,-1.4977855855039202e-08,0.0066744747263614325,-1.5967894544723646e-20,1.50299682049384e-21,-9.402955484670988e-21,-2.4339716057752716e-05,-5.553359760436007e-20,-1.2576454033256233e-20,0.008010944147169824,5.756305083464001e-07,-1.2230437268402828e-05,-6.482543374744187e-25,6.0426024447957804e-21,1.5029968204934549e-21,5.756305083464001e-07,0.004007439810530622,5.272222196808057e-13,3.734310050536948e-21,-1.102801146122842e-19,-1.1097021379179589e-20,-1.2230437268402828e-05,5.272222264570693e-13,0.00400743980251263,-2.4769276778764054e-22,2.471161080944815e-06,-2.4339716057752716e-05,-8.552514390044122e-25,3.7347236408416835e-21,-2.4769276778764054e-22,0.008005827406841949,0.09282730983068177,1.7498177337982312e-05,2.609024107869118e-15,1.4755208705051145e-15,-1.1059033049373702e-16,-0.7042328850293416,0.003404422657085466,8.252852057714046e-16,5.854483876443426e-25,2.0998877002016985e-26,-1.0662132786806919e-27,-4.728337776467455e-18,8.25285205754441e-16,0.003404422657128068,-9.854529314111402e-26,-3.3293354453057635e-28,-7.392551617337489e-28,-2.4409255819719766e-19,5.888815103038644e-25,-9.853227693617787e-26,0.005337495594879602,7.17648807574871e-13,-3.915602207722622e-12,-1.1632227364026952e-25,2.099907421724329e-26,-3.327363293042711e-28,7.17648807574871e-13,0.0013340926056309701,2.0521989116351074e-15,-1.824351336401125e-24,5.49324551405364e-28,-7.377267437298832e-28,-3.915602207722621e-12,2.0521989116351074e-15,0.0013340926056201491,4.382846253332059e-25,-4.7283379832626084e-18,-2.440928166911391e-19,-1.1632227364026952e-25,-1.824351336401125e-24,4.382846253332059e-25,0.002666234542923242
